name,vtable,scope,status,linked_receiver_opcodes,linked_request_opcodes,validation_plan_id,offline_next,runtime_scenario,negative_control,pass_criterion
Nuo::Kindred::IGameAction,01215f08,기타 관련 기반/연출/UI/플랫폼 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.
Nuo::Kindred::ActionRejectBuyItem_Client,01215f1c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x048f,,V06,"item/talent/slot/stack/recipe 참조와 생성자→apply, 금액 차감·지급·거절 사유 소비 경로를 추적한다.",부품 구매→조합→판매→소모품 사용→슬롯 이동을 각각 분리한다. 재능과 추천 빌드는 지원 모드에서 장착/해제/변경한다.,돈 부족·슬롯 가득·상점 밖·쿨다운 중 사용·잘못된 재능 모드의 거절을 대조한다.,아이템/슬롯/수량과 실제 인벤토리·금액 변화가 일치하며 요청/지급/소비/거절을 중복 집계하지 않는다.
Nuo::Platform::PlatformQueryNotifyPlayerAction,0121838c,기타 관련 기반/연출/UI/플랫폼 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.
Nuo::Kindred::ActionAttachToActor_Client,0121a8c8,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0408,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionAutoMoveToActorResponse,0121a8dc,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0404,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionAutoMoveToLocation_Client,0121a8f0,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0405,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionHUDQuickMessage,0121a904,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x044f,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Kindred::ActionModifyBasicAttackTarget,0121a938,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0425,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionModifySpawnCampVisibility_Client,0121a94c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x042c,,V07,"manifest/kind와 팀 조회, visibility bit/mask, 어그로 대상, 소유 변경과 팀 보상 소비 경로를 연결한다.",수풀/시야 경계 진입·이탈과 어그로 변경을 관측한다. 목표물은 터렛·크리스탈·대형 몬스터를 종류별로 하나씩 양 팀 관점에서 비교한다.,"피해만 주고 미처치, 다른 팀 처치, 시야 밖, 포획 없는 소멸을 대조한다.",종류·팀·수신 범위와 처치/포획/소유권/재등장이 일치하고 원시 source를 최종 보상 귀속으로 단정하지 않는다.
Nuo::Kindred::ActionMoveToAuthoritative_Client,0121a960,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x03fe,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
