opcode,candidate,evidence_status,receiver_handled,receiver_target_va,family,record_count,recording_count,payload_length_histogram,static_copy_bytes,request_payload_bytes,formatter_payload_bytes,field_evidence,unresolved,validation_plan_id,offline_next,runtime_scenario,negative_control,pass_criterion,source_evidence
0x0000,float 4바이트 읽기와 FUN_004eaf50 호출,처리 분기만 확인,True,004d0064,미분류·기록/빌드 차이,0,0,{},4,,4,float 4바이트 읽기와 FUN_004eaf50 호출,값의 단위·네트워크 제어 의미를 소비자에서 확인해야 함,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 float 4바이트 읽기와 FUN_004eaf50 호출: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0000)
0x0005,미명명 패킷 후보,패킷 직렬화 경로 확인,False,,미분류·기록/빌드 차이,0,0,{},,,132,"고정 header의 u16 길이/opcode 상수와 payload 복사 크기, 공통 전달 함수 호출 확인; payload 의미와 기록 방향은 미확정",처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 패킷 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0005)
0x0006,미명명 후보,처리 분기만 확인,True,004cff7f,미분류·기록/빌드 차이,0,0,{},1,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x0006)
0x03e8,미명명 패킷 후보,패킷 직렬화 경로 확인,False,,미분류·기록/빌드 차이,56,27,"{""70"": 56}",,,64,"고정 header의 u16 길이/opcode 상수와 payload 복사 크기, 공통 전달 함수 호출 확인; payload 의미와 기록 방향은 미확정",처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 패킷 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03e8)
0x03e9,미명명 후보,처리 분기만 확인,True,004d00b2,미분류·기록/빌드 차이,7870,56,"{""101"": 7870}",101,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03e9)
0x03ea,미명명 후보,처리 분기만 확인,True,004d4547,미분류·기록/빌드 차이,0,0,{},4,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03ea)
0x03eb,미명명 후보,처리 분기만 확인,True,004d4592,미분류·기록/빌드 차이,0,0,{},4,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03eb)
0x03ec,미명명 후보,처리 분기만 확인,True,004d45dd,미분류·기록/빌드 차이,0,0,{},4,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03ec)
0x03ed,미명명 후보,처리 분기만 확인,True,004d2662,미분류·기록/빌드 차이,196,43,"{""78"": 196}",72,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03ed)
0x03ee,미명명 후보,처리 분기만 확인,True,004d274e,미분류·기록/빌드 차이,75807,56,"{""216"": 75293, ""222"": 514}",216,,,분기 복사 크기·byte order helper·생성자 저장 위치를 근거에 보존; 필드 이름은 미확정,처리 분기 또는 native 이름만으로 목적·필드·통신 방향·사용 조건을 확정할 수 없음,V00,"모든 직접 호출과 serializer 역참조, RTTI/apply, 문자열·호출자를 조사한다. 관측 길이별로 비교하고 수신기 기본 경로인 경우 다른 방향/빌드를 먼저 확인한다.",대상 미명명 후보: 소비 경로로 행동 후보를 좁힌 다음 후보 행동을 하나씩 독립 기록하고 가능하면 실제 송수신 경로와 함께 대조한다.,"무행동, 비슷한 다른 행동, 다른 모드/상태/빌드를 대조한다.",특정 행동과 필드 해석을 지지하는 사례와 반증 대조를 함께 확보하기 전에는 unknown을 유지한다. 미관측을 미사용/예약 코드로 단정하지 않는다.,vg-binary-event-candidates-2026-09-09.json (candidates opcode=0x03ee)
